5285064395    3405.71
4385638273     711.34
2956294386     679.31
7395659299      42.75
3245987475     -27.50
5285064395      31.27
1234567890       1.23
9237405759     -10.35
5285064395       5.45
5839659462      67.98
9587498357       -.50
1234567890    2525.15
3245987475     200.01
7395659299      78.12
2956294386    3293.53
9765324598      -5.00
4385638273     321.98
2956294386    -293.03
9587498357      45.19
2956294386   -3000.00
1234567890   -1365.00
5285064395   -1295.30
4385638273    -897.23
2956294386       9.14
